  0.0023;  0.0025;  0.0027;  0.0030;  0.0032;  0.0034;  0.0032;  0.0030;  0.0027;  0.0025;  0.0023;
  0.0025;  0.0027;  0.0031;  0.0036;  0.0041;  0.0043;  0.0041;  0.0036;  0.0031;  0.0027;  0.0025;
  0.0027;  0.0031;  0.0039;  0.0052;  0.0069;  0.0077;  0.0069;  0.0052;  0.0039;  0.0031;  0.0027;
  0.0030;  0.0036;  0.0052;  0.0088;  0.0148;  0.0184;  0.0148;  0.0088;  0.0052;  0.0036;  0.0030;
  0.0032;  0.0041;  0.0069;  0.0148;  0.0344;  0.0483;  0.0344;  0.0148;  0.0069;  0.0041;  0.0032;
  0.0034;  0.0043;  0.0077;  0.0184;  0.0483;  0.0704;  0.0483;  0.0184;  0.0077;  0.0043;  0.0034;
  0.0032;  0.0041;  0.0069;  0.0148;  0.0344;  0.0483;  0.0344;  0.0148;  0.0069;  0.0041;  0.0032;
  0.0030;  0.0036;  0.0052;  0.0088;  0.0148;  0.0184;  0.0148;  0.0088;  0.0052;  0.0036;  0.0030;
  0.0027;  0.0031;  0.0039;  0.0052;  0.0069;  0.0077;  0.0069;  0.0052;  0.0039;  0.0031;  0.0027;
  0.0025;  0.0027;  0.0031;  0.0036;  0.0041;  0.0043;  0.0041;  0.0036;  0.0031;  0.0027;  0.0025;
  0.0023;  0.0025;  0.0027;  0.0030;  0.0032;  0.0034;  0.0032;  0.0030;  0.0027;  0.0025;  0.0023;
