Time,Memory Usage (MB)
.031264324,2672
.458603582,2697
.749098610,2747
1.022969963,2772
1.354661560,2927
1.681549604,3103
1.952145214,3323
2.173490236,3518
2.397591339,3721
2.627171995,3921
2.852572354,4106
3.075144939,4298
3.303715059,3473
3.523573817,3472
3.748659427,3469
3.966172156,3464
4.183979088,3464
4.422900876,3466
4.697361541,3461
4.968032026,3462
5.290639524,3463
5.573845165,3464
5.832755560,3464
6.049155294,3464
6.264696322,3464
6.479023672,3464
6.695315345,3461
6.910247045,3455
7.129106738,3456
7.342993830,3456
7.556860932,3456
7.772923775,3457
7.991052404,3457
8.208684083,3457
8.431460006,3459
8.657256988,3459
8.896083446,3459
